"musicbrainz_id","track_title","channel","webpage_url"
"09e3ee84-1a1e-41cd-b911-b3b25413bf51","Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",Lady Gaga,https://www.youtube.com/watch?v=kPa7bsKwL-c
"0a62410e-efe8-4370-a4e5-e325a54fae16","Beyoncé, Linda Martell - THE LINDA MARTELL SHOW (Official Lyric Video)",Beyoncé,https://www.youtube.com/watch?v=2bkKa6G5iFo
"0aa8109d-8f18-4940-aba5-a7085a63732e",Harry Styles - Little Freak (Audio),Harry Styles,https://www.youtube.com/watch?v=hJpvI3w3tDc
"0b0c657b-8f1f-4c16-bd48-c4d0d31e78d7",Madison Beer - Default (Official Audio),Madison Beer,https://www.youtube.com/watch?v=QCsWwgwIkCM
"0bdf1cc9-502b-4cf1-97a8-1037422e77e4",Ariana Grande - pete davidson (Official Audio),Ariana Grande,https://www.youtube.com/watch?v=ba8CifMRZ2Y
"0c1481db-8f8f-46ba-ba51-a238617c62b1",Ariana Grande - my hair (Official Live Performance) | Vevo,Ariana Grande,https://www.youtube.com/watch?v=ZTF6vF7nHlM
"0c543b43-9332-4e3c-8108-af9c3d54fae4",Rihanna Love Without Tragedy/Mother Mary Lyric Video,XIXVLyrics,https://www.youtube.com/watch?v=wMCgQ4hLST0
"0c6652d7-1b12-44b4-b673-e63a0006bf90",To The Moon And Back,Luke Bryan,https://www.youtube.com/watch?v=GWKqDWtSMu0
"0db9b3f4-3340-444c-a4f0-322057fc79be",Harry Styles - Daydreaming (Audio),Harry Styles,https://www.youtube.com/watch?v=G2BYATpr4uY
"0de09386-08fb-4156-97fc-3818a1e8e15a",AC/DC - Givin the Dog a Bone (Official Audio),AC/DC,https://www.youtube.com/watch?v=9dD5r7N7Imw
"0e12be4c-bd1d-45bc-acf3-3d12dd981b60",Luke Bryan - Build Me A Daddy (Official Music Video),Luke Bryan,https://www.youtube.com/watch?v=T8t4S6ovrDs
"0e225847-0889-418b-9115-2f4a083eb783",Woo - Rihanna (Lyrics) | Send for me,Cakes & Eclairs,https://www.youtube.com/watch?v=JBb36ZvWZuA
"0eb581bf-7981-497e-a4fd-0493fa57ba23",Dua Lipa - Physical (Official Video),Dua Lipa,https://www.youtube.com/watch?v=9HDEHj2yzew
"0ec1bf3a-982d-41e3-95b5-ce09283512e5",Motive X Promiscuous (TikTok Mashup) [Lyrics],"Ariana Grande, Nelly Furtado",https://www.youtube.com/watch?v=LCdS2TpMTao
"0f357623-b934-4dfb-8a16-ca1558fcbd45",Chris Stapleton - Them Stems (Official Audio),Chris Stapleton,https://www.youtube.com/watch?v=cDlgSeIhTeU
"0f5a6cbc-ac24-4b6a-8c12-907bf8f1b09a",Bad Reputation,Shawn Mendes,https://www.youtube.com/watch?v=GDPJG0zBvmE
"0f98fa93-a6fb-4d71-9f21-17e3feadf25a",Travis Scott - LOST FOREVER (Official Audio) ft. Westside Gunn,Travis Scott,https://www.youtube.com/watch?v=AppJbl-wODs
"10592ebc-737a-4027-bcf8-05b0b15e82f2",Billy Joel - Half A Mile Away (Audio),Billy Joel,https://www.youtube.com/watch?v=SfPgEpkbJhY
"10660f7f-8023-4150-b50d-e618b46ff4de",Harry Styles - Kiwi,Harry Styles,https://www.youtube.com/watch?v=9wg3v-01yKQ
"107d6e57-fb5b-4eb3-990b-deb96fb4783a","Travis Scott - TELEKINESIS (Official Audio) ft. SZA, Future",Travis Scott,https://www.youtube.com/watch?v=xl5LunV-OkU
"10a84606-3500-4acd-8956-54b6f3477144",Twist And Shout (Remastered 2009),The Beatles,https://www.youtube.com/watch?v=2RicaUqd9Hg
"110cb105-6ba1-4d2a-82da-fdbb6ed7b9d1",What Up Gangsta,"50 Cent",https://www.youtube.com/watch?v=xIl4ZGd8MPc
"11a15565-9ed1-4d90-a9cb-bef712b4bd96",Beyoncé - Love Drought,Beyoncé,https://www.youtube.com/watch?v=CUyQSKe75L4
"11f17301-5e50-48c6-ba63-f2456e83423e",Don't Push Me,"50 Cent",https://www.youtube.com/watch?v=Mj4YJHDpamg
"11f6c998-8867-463e-8e00-e60a695a08f1",Taylor Swift - Long Live (Taylor's Version) (Lyric Video),Taylor Swift,https://www.youtube.com/watch?v=F5TMU6916U8
"1242606c-0cdb-44c8-9d1d-c6343e557b0d",Lana Del Rey - Radio (Lyrics),Unique Sound,https://www.youtube.com/watch?v=n_EZXtKBwxc
"1259f61a-08dc-44cc-b85e-220363ccc4a6","Travis Scott, Bad Bunny, The Weeknd - K-POP (Official Music Video)",Travis Scott,https://www.youtube.com/watch?v=_kS7F4VpJa0
